Symbol,Date,Open,High,Low,Close,Volume
ADDA.IDX,06-Apr-2021,30,38,3,6,0
ADDC.IDX,06-Apr-2021,20,21,-59,-37,0
ADDE.IDX,06-Apr-2021,-72,731,-72,89,0
ADDN.IDX,06-Apr-2021,288,820,157,295,0
ADDQ.IDX,06-Apr-2021,-71,288,-399,-318,0
ADDS.IDX,06-Apr-2021,227,465,187,405,0
ADDT.IDX,06-Apr-2021,247,1044,-177,-17,0
ADDU.IDX,06-Apr-2021,11,11,-411,-294,0
ADDV.IDX,06-Apr-2021,121,121,30,46,0
ADDX.IDX,06-Apr-2021,368,471,297,414,0
ADRA.IDX,06-Apr-2021,1.5,1.59,1.03,1.06,0
ADRC.IDX,06-Apr-2021,1.43,1.43,0.68,0.82,0
ADRE.IDX,06-Apr-2021,0.88,2.05,0.88,1.07,0
ADRN.IDX,06-Apr-2021,1.35,2.4,1.17,1.34,0
ADRQ.IDX,06-Apr-2021,0.94,1.22,0.76,0.8,0
ADRS.IDX,06-Apr-2021,1.83,1.83,1.51,1.56,0
ADRT.IDX,06-Apr-2021,1.11,1.52,0.93,0.99,0
ADRU.IDX,06-Apr-2021,1.01,1.01,0.82,0.89,0
ADRV.IDX,06-Apr-2021,1.93,1.93,1.07,1.1,0
ADRX.IDX,06-Apr-2021,1.82,1.82,1.27,1.3,0
ADVA.IDX,06-Apr-2021,90,111,90,101,332066400
ADVC.IDX,06-Apr-2021,66,176,66,175,78332500
ADVE.IDX,06-Apr-2021,574,1459,574,1225,828086000
ADVN.IDX,06-Apr-2021,1097,1404,1079,1141,2443225000
ADVQ.IDX,06-Apr-2021,1121,1595,1121,1331,1899638000
ADVS.IDX,06-Apr-2021,498,1130,498,1128,208579000
ADVT.IDX,06-Apr-2021,2308,3049,2308,2573,4674929000
ADVU.IDX,06-Apr-2021,923,2619,923,2619,17521620000
ADVV.IDX,06-Apr-2021,250,492,250,491,105416200
ADVX.IDX,06-Apr-2021,814,1796,814,1794,392327700
ASHD.IDX,06-Apr-2021,5,1034,5,987,0
ASHF.IDX,06-Apr-2021,1,651,-62,165,0
ASHR.IDX,06-Apr-2021,1.2,1.96,0.62,1.16,0
ASHU.IDX,06-Apr-2021,6,1376,6,1152,0
AVDA.IDX,06-Apr-2021,-0.36,224.45,-8.27,224.45,0
AVDC.IDX,06-Apr-2021,-0.06,14.96,-8.59,7.97,0
AVDE.IDX,06-Apr-2021,-0.37,290.82,-0.37,241.82,0
AVDN.IDX,06-Apr-2021,24.14,1040.46,24.14,1040.39,0
AVDQ.IDX,06-Apr-2021,11.26,344.75,-50.53,176.28,0
AVDS.IDX,06-Apr-2021,4.45,77.29,4.45,68.41,0
AVDT.IDX,06-Apr-2021,35.05,1461.85,35.05,1441.13,0
AVDU.IDX,06-Apr-2021,-503.02,5834.09,-1737.94,3114.66,0
AVDV.IDX,06-Apr-2021,3.3,23.32,3.3,22.16,0
AVDX.IDX,06-Apr-2021,7.7,98.55,7.7,98.55,0
AVLD.IDX,06-Apr-2021,0.11,588.26,0.11,438.69,0
AVLF.IDX,06-Apr-2021,-0.04,431.26,-12.99,295.14,0
AVLR.IDX,06-Apr-2021,0.6,5.82,0.27,1.67,0
AVLU.IDX,06-Apr-2021,0.07,930.66,0.07,733.83,0
AVRA.IDX,06-Apr-2021,0.98,4.28,0.8,3.08,0
AVRC.IDX,06-Apr-2021,0.97,1.87,0.77,1.11,0
AVRE.IDX,06-Apr-2021,0.98,2.12,0.98,1.41,0
AVRN.IDX,06-Apr-2021,1.45,2.91,1.45,1.74,0
AVRQ.IDX,06-Apr-2021,1.09,1.45,0.97,1.1,0
AVRS.IDX,06-Apr-2021,4.17,4.17,1.38,1.48,0
AVRT.IDX,06-Apr-2021,1.17,1.78,1.17,1.44,0
AVRU.IDX,06-Apr-2021,0.52,1.38,0.44,1.21,0
AVRV.IDX,06-Apr-2021,4.21,4.21,1.14,1.26,0
AVRX.IDX,06-Apr-2021,2.54,2.56,1.27,1.33,0
AVVA.IDX,06-Apr-2021,21.68,332.06,21.68,332.06,0
AVVC.IDX,06-Apr-2021,2.49,81.09,2.49,78.33,0
AVVE.IDX,06-Apr-2021,22.71,871.8,22.71,828.08,0
AVVN.IDX,06-Apr-2021,77.05,2487.73,77.05,2443.22,0
AVVQ.IDX,06-Apr-2021,132.53,2039.47,132.53,1899.63,0
AVVS.IDX,06-Apr-2021,5.86,209.18,5.86,208.57,0
AVVT.IDX,06-Apr-2021,231.27,4858.52,231.27,4674.92,0
AVVU.IDX,06-Apr-2021,563.82,22620.56,563.82,17521.62,0
AVVV.IDX,06-Apr-2021,4.33,105.75,4.33,105.41,0
AVVX.IDX,06-Apr-2021,12.69,394.17,12.69,392.32,0
BANK.IDX,06-Apr-2021,4582.97,4606.09,4543.71,4564.4,0
BCMA.IDX,06-Apr-2021,2013,2645,2013,2123,0
BCMC.IDX,06-Apr-2021,100.54,100.73,100.48,100.62,0
BCMD.IDX,06-Apr-2021,1712,2205,1556,2151,0
BCME.IDX,06-Apr-2021,315,396,315,387,0
BCMF.IDX,06-Apr-2021,133,261,133,237,0
BCMG.IDX,06-Apr-2021,41,44,22,33,0
BCMM.IDX,06-Apr-2021,100.16,100.5,100.01,100.03,0
BCMU.IDX,06-Apr-2021,169,169,52,93,0
BDMA.IDX,06-Apr-2021,2372,2642,2372,2641,0
BDMC.IDX,06-Apr-2021,100.61,100.61,100.46,100.47,0
BDMD.IDX,06-Apr-2021,1473,1657,1473,1656,0
BDME.IDX,06-Apr-2021,267,349,267,348,0
BDMF.IDX,06-Apr-2021,196,270,196,269,0
BDMG.IDX,06-Apr-2021,25,39,25,39,0
BDMM.IDX,06-Apr-2021,100.43,100.43,100.42,100.42,0
BDMU.IDX,06-Apr-2021,49,70,49,70,0
BFMA.IDX,06-Apr-2021,755,844,755,842,0
BFMC.IDX,06-Apr-2021,99.29,99.29,99.21,99.23,0
BFMD.IDX,06-Apr-2021,3117,3487,3117,3487,0
BFME.IDX,06-Apr-2021,144,184,144,184,0
BFMF.IDX,06-Apr-2021,325,443,325,441,0
BFMG.IDX,06-Apr-2021,18,30,18,30,0
BFMM.IDX,06-Apr-2021,97.84,97.86,97.83,97.86,0
BFMU.IDX,06-Apr-2021,22,38,22,38,0
BGMA.IDX,06-Apr-2021,2228,2519,2228,2519,0
BGMC.IDX,06-Apr-2021,100.25,100.34,100.25,100.3,0
BGMD.IDX,06-Apr-2021,1623,1792,1623,1790,0
BGME.IDX,06-Apr-2021,257,350,257,349,0
BGMF.IDX,06-Apr-2021,210,277,210,276,0
BGMG.IDX,06-Apr-2021,16,25,16,25,0
BGMM.IDX,06-Apr-2021,100.41,100.5,100.41,100.48,0
BGMU.IDX,06-Apr-2021,43,58,43,58,0
BKX.IDX,06-Apr-2021,121.65,122.25,120.68,121.66,0
BWH.IDX,06-Apr-2021,228.46,231.88,226.98,227.54,0
CASH.IDX,06-Apr-2021,1,1,1,1,0
COMP.IDX,06-Apr-2021,13681.67,13776.71,13674.28,13698.38,0
CPC.IDX,06-Apr-2021,0.67,0.67,0.67,0.67,0
CPCI.IDX,06-Apr-2021,1.24,1.24,1.24,1.24,0
CPCS.IDX,06-Apr-2021,0.41,0.41,0.41,0.41,0
CPR.IDX,06-Apr-2021,4.14,4.15,4.07,4.12,54601
CYM.IDX,06-Apr-2021,23.49,23.59,23.46,23.53,0
DCFD.IDX,06-Apr-2021,89.23,92.3,76.92,76.92,0
DCFI.IDX,06-Apr-2021,92.3,93.84,90.76,92.3,0
DCOF.IDX,06-Apr-2021,87.69,92.3,87.69,92.3,0
DCOH.IDX,06-Apr-2021,93.84,93.84,93.84,93.84,0
DCSE.IDX,06-Apr-2021,59965,60368.67,59122.17,59626.1,0
DCTH.IDX,06-Apr-2021,95.38,95.38,95.38,95.38,0
DCTW.IDX,06-Apr-2021,87.69,90.76,84.61,86.15,0
DECA.IDX,06-Apr-2021,60,95,60,95,107613500
